1,一
2,二
3,三
4,亖
6,弎
6,弐
4,丰
11,彗
15,熭
15,慧
9,砉
11,剨
7,匤
6,匡
8,劻
8,邼
18,豐
28,豔
27,豓
24,艷
25,豒
20,酆
6,耒
17,耫
16,耩
10,耕
10,耘
8,耓
14,耤
19,耯
13,耢
16,耨
15,頛
21,耰
10,耟
10,耖
14,耥
11,耝
13,耡
17,耬
15,耦
11,耜
16,
21,
10,耗
12,耠
14,耣
11,耞
22,耲
22,耱
16,耪
15,耧
18,耮
9,耔
10,耙
11,耚
11,耛
18,耭
10,艳
12,貳
10,栔
9,契
21,齧
12,蛪
10,洯
10,挈
13,觢
9,贰
10,恝
12,絜
7,寿
11,焘
11,邫
5,
8,奉
9,奏
10,泰
9,春
21,蠢
13,惷
10,秦
11,舂
15,憃
6,邦
9,帮
14,幚
5,弍
3,亍
3,于
3,干
4,王
4,
8,玤
12,琫
13,瑃
14,瑧
7,玕
7,玗
8,玨
17,璱
12,琹
12,琵
12,珷
10,珡
12,琴
14,璈
9,珏
13,瑟
12,琶
13,瑇
11,琎
8,玞
19,瓉
8,玩
8,玮
6,玎
7,玒
10,珪
14,瑪
19,瓄
12,琽
10,珯
18,璹
22,瓙
9,珐
9,玵
10,珥
12,琪
15,璂
12,瑘
14,璍
17,瓂
15,瑾
15,璜
15,璊
10,珙
9,玴
16,璢
21,瓘
12,瑛
14,璓
17,瓁
14,瑹
16,璥
14,瑨
14,瑱
13,瑚
12,琳
17,璴
12,琜
11,球
17,麉
14,璉
15,瑼
16,璤
19,璷
12,琙
9,珂
20,瓎
11,珸
18,璼
14,瑮
13,瑓
13,瑊
10,珬
7,弄
8,环
10,珛
13,頊
19,瓇
10,珔
13,瑌
10,顼
20,瓑
12,琦
16,璙
12,琢
9,珑
10,珹
9,玶
18,瓀
7,玙
11,琏
8,玡
10,琊
8,玭
13,瑎
12,琖
8,珁
12,琲
10,鬥
16,鬨
20,鬪
26,鬭
18,鬩
27,鬮
25,鬬
15,鬧
14,鬦
21,鬫
12,琡
10,玼
9,玷
12,琸
17,璨
18,璿
24,瓛
17,璩
20,瓐
12,琥
8,武
16,虣
19,鵡
13,鹉
16,璞
10,珖
11,琑
14,瑣
11,琐
17,璫
15,瑺
10,珰
8,青
9,珇
11,珵
11,理
13,瑅
11,珼
11,責
21,瓔
13,勣
11,現
13,瑒
12,琨
9,玾
9,珅
14,靗
12,琩
13,瑁
21,瓓
15,靚
13,瑥
12,靓
13,瑆
12,靔
18,靝
19,鶄
16,靜
13,
14,静
14,靘
16,璟
12,琝
16,靛
10,郬
9,珃
17,璐
16,璝
19,瓃
11,珿
13,琾
12,琠
11,琄
17,璪
10,珚
8,靑
13,瑞
17,環
17,匵
15,璀
22,瓗
11,琌
8,责
15,璎
8,现
8,玝
9,珄
16,璑
10,珠
17,璳
10,珤
10,珗
23,瓚
20,瓒
10,珽
11,珴
11,琍
19,瓈
11,琇
8,玫
11,琁
11,珻
13,瑖
17,璵
9,玳
7,玔
12,琟
15,璡
9,珀
13,瑝
14,碧
12,頇
15,鳿
13,瑔
12,琕
13,瑰
17,璬
14,瑦
19,瓅
13,瑀
14,瑡
10,珦
9,顸
15,璁
19,瓆
10,珩
15,瑽
10,珘
6,兲
6,玐
12,琻
10,珨
13,瑜
17,璯
10,珧
16,璠
8,玠
9,珍
13,瑗
14,瑶
14,瑫
14,瑷
17,璦
11,琈
8,玪
14,瑲
11,琀
9,玲
8,玢
8,玜
8,玱
6,玏
6,玑
8,玥
12,琱
10,珮
10,珟
12,琘
9,珎
9,玽
9,珈
10,珣
13,瑍
18,瓊
10,敖
20,驁
16,聱
14,獒
13,嗸
17,贅
23,鼇
16,螯
13,嶅
14,赘
21,鷔
18,鏊
18,鳌
21,鰲
17,謷
14,熬
13,遨
13,嫯
13,骜
8,表
9,珊
9,珋
10,珕
7,玓
7,玖
7,麦
8,玬
11,琒
11,麸
16,麺
10,珞
15,麹
14,瑤
14,瑠
10,琤
9,玸
5,玉
5,玊
11,琂
8,玣
12,琼
21,瓖
20,瓌
17,璮
8,玟
12,斑
11,珳
10,珓
12,琗
14,璃
14,瑭
15,璇
12,琣
15,璋
21,瓏
15,璄
18,瓋
18,璾
11,琉
10,珫
9,玹
10,珜
13,瑳
11,琷
10,班
16,璘
13,瑐
11,琋
16,璲
16,璔
12,琰
11,珶
12,琺
15,璖
10,珱
12,琮
11,琓
12,琔
18,璸
13,瑄
15,璌
12,琯
14,瑸
13,瑏
14,瑢
12,琬
11,琅
12,瑯
13,琿
16,璭
10,珲
12,琛
7,迋
9,珌
5,匞
5,玌
10,珒
16,璕
18,璶
17,璛
12,琭
11,珺
10,珢
13,瑕
12,琚
8,玦
7,玘
9,珉
13,瑉
13,瑋
18,瓍
13,瑂
9,玿
9,玻
7,玚
14,摮
6,丟
6,式
10,珝
15,璆
18,璻
9,珆
16,璒
8,玧
13,瑵
13,瑈
16,璚
7,玛
16,璏
13,瑑
9,毒
24,纛
15,瑻
10,素
18,繛
16,璣
15,璅
13,瑙
8,甙
10,冓
19,顜
17,覯
14,觏
14,斠
13,遘
10,匿
14,慝
5,刊
19,匶
8,盂
7,攼
14,鳱
5,未
5,末
5,示
10,祘
17,膥
10,唜
19,斄
18,釐
15,漦
15,犛
15,氂
14,孷
13,剺
14,嫠
6,礼
14,覝
6,迀
6,迂
11,匭
11,貮
5,击
5,邗
5,邘
6,幵
10,栞
8,郉
4,亓
4,井
4,开
7,坓
6,刑
9,型
8,汬
12,雃
15,鳽
7,形
5,丼
8,烎
7,进
15,奭
6,邢
8,刱
7,戒
4,天
4,夫
15,輦
17,鄻
12,辇
12,替
15,賛
17,鄼
24,蠺
14,蝅
9,沗
8,忝
7,吞
8,昋
11,規
15,槼
21,鬹
14,嫢
12,奣
10,蚕
14,匲
8,规
12,椝
18,鬶
15,鳺
15,鴌
9,匧
7,迗
6,邞
4,元
4,无
7,坖
13,頑
10,顽
6,刓
17,黿
12,鼋
6,戎
7,远
6,邧
9,兘
6,忈
3,亏
3,亐
8,匦
4,韦
9,韨
13,韫
14,韬
7,违
14,夀
7,韧
4,专
4,云
4,弌
5,戋
7,刬
13,魂
10,盏
14,叆
6,动
7,运
15,叇
6,迃
2,丁
2,丅
2,十
3,土
3,士
3,工
3,扌
8,拝
12,揳
11,埲
11,捧
12,揍
12,堾
13,搸
14,摏
9,垹
9,挷
6,圩
6,扜
6,扞
7,抂
10,匪
10,挵
11,埥
11,掅
9,拭
13,塐
13,搆
8,抹
8,抺
12,款
16,隷
7,扶
18,攆
15,撵
18,攅
11,掭
14,摫
7,坃
7,抏
7,抚
6,圬
6,扝
8,長
7,坛
7,抎
7,抟
7,镸
21,镾
19,镽
11,瓺
12,镻
11,镺
10,髟
19,鬊
14,髨
16,髻
20,鬐
16,髶
21,鬗
16,髸
15,髰
20,鬕
20,鬒
19,鬍
14,髤
18,鬆
19,鬎
14,髩
19,鬌
15,髬
16,髵
13,髡
14,髪
15,髮
16,髭
17,髾
14,髥
22,鬝
22,鬜
21,鬘
18,鬄
15,髯
16,髷
23,鬞
23,鬟
14,髦
16,髺
17,鬁
19,鬏
17,鬂
16,髹
23,鬛
22,鬚
23,鬠
17,髽
12,髠
18,鬅
17,髼
20,鬔
16,鬇
15,髱
27,鬤
14,髣
18,鬈
19,鬋
20,鬑
22,鬙
17,鬀
19,鬉
17,髿
18,鬃
24,鬢
20,鬓
24,鬡
14,髧
15,髴
13,髢
15,髫
15,髲
15,髳
21,鬖
25,鬣
10,镹
13,肆
15,镼
5,圢
5,打
6,圭
6,扗
6,扛
11,掁
9,垚
9,壵
9,挂
15,墝
15,撓
12,堯
21,顤
15,遶
18,翹
11,掛
9,封
9,持
12,堼
18,鞤
12,幇
13,犎
17,幫
9,奊
14,墕
8,刲
15,墳
8,卦
9,拮
13,摃
19,鼃
18,擷
15,撷
17,擡
13,郌
9,拷
10,捇
17,擮
11,堵
13,搘
11,堎
11,掕
8,劸
15,墶
15,撻
15,撎
10,恚
17,壔
17,擣
8,邽
8,抾
